Construct;Strain;TPPpmol/FW;Thi pmol/FW
WT;WT1;8,166258847;0,019838839
WT;WT2;5,033251312;0,012541483
WT;WT3;6,409369159;0,026691367
WT;WT4;7,547232234;0,01875544
pMLP2064;B2;10,2725268;0,028528566
pMLP2064;B3;11,09439354;0,026748649
pMLP2064;B4;9,204552103;0,02679661
pMLP2064;B5;11,48995778;0,028035392
pMLP2064;B6;7,292536687;0,030588431
pMLP2064;B7;6,617656556;0,026859119
pMLP2064;B8;6,777227314;0,029477128
pMLP2064;B9;10,68658405;0,028422911
pMLP2064;B10;11,06696611;0,021864361
pMLP2064;B11;9,132431724;0,01681838
pMLP2065;B2;8,623156959;0,03186345
pMLP2065;B3;11,52655443;0,021620383
pMLP2065;B4;9,827056309;0,025216789
pMLP2065;B7;8,279817581;0,029436099
pMLP2065;B9;10,54608558;0,018503075
pMLP2065;B10;9,257221094;0,0234448
pMLP2065;B11;7,924979621;0,020223794
